#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,target
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T22:55:10Z,32,latency_ms,network_metrics,1.1.1.1
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T22:57:10Z,32,latency_ms,network_metrics,1.1.1.1
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T22:59:00Z,32,latency_ms,network_metrics,1.1.1.1
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T23:01:00Z,31,latency_ms,network_metrics,1.1.1.1
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T23:02:50Z,34,latency_ms,network_metrics,1.1.1.1
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T23:04:50Z,31,latency_ms,network_metrics,1.1.1.1
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T23:06:40Z,32,latency_ms,network_metrics,1.1.1.1
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T23:08:30Z,37,latency_ms,network_metrics,1.1.1.1
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T23:10:30Z,32,latency_ms,network_metrics,1.1.1.1
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T23:12:20Z,32,latency_ms,network_metrics,1.1.1.1
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T23:14:20Z,30,latency_ms,network_metrics,1.1.1.1
,,0,2025-11-12T22:23:21.9152202Z,2025-11-12T23:23:21.9152202Z,2025-11-12T23:16:10Z,33,latency_ms,network_metrics,1.1.1.1
